SAMPLE.ID,LAKE.NO,DIVISION,TAXON,BIOMASS.MG.L,Day,Treatment
A19041211451,41,Cryptophyta,Cryptomonas,0.424513,211,Pre
A19041211451,41,Cryptophyta,Komma,0.002428873,211,Pre
A19041211451,41,Cyanophyta,Microcystis,279.2993469,211,Pre
A19041211451,41,Cyanophyta,Pseudanabaena,0.002568533,211,Pre
A19041211451,41,Cyanophyta,Snowella,0.398710385,211,Pre
G19041143451,41,Cyanophyta,Aphanizomenon,1.83193594,143,Pre
G19041143451,41,Bacillariophyta,Asterionella,0.32759564,143,Pre
G19041143451,41,Chlorophyta,Coelastrum,0.377102519,143,Pre
G19041143451,41,Chlorophyta,Cosmarium,0.80404067,143,Pre
G19041143451,41,Cryptophyta,Cryptomonas,0.423866418,143,Pre
G19041143451,41,Chlorophyta,Elakatothrix,0.025787645,143,Pre
G19041143451,41,Chlorophyta,Eudorina,6.724306049,143,Pre
G19041143451,41,Bacillariophyta,Fragilaria,83.55942299,143,Pre
G19041143451,41,Cyanophyta,Microcystis,8.633976542,143,Pre
G19041143451,41,Chlorophyta,Oocystis,0.089683111,143,Pre
G19041143451,41,Chlorophyta,Pediastrum,25.00115748,143,Pre
G19041143451,41,Cyanophyta,Pseudanabaena,0.003275633,143,Pre
G19041143451,41,Chlorophyta,Staurastrum,0.151755232,143,Pre
G19041143451,41,Bacillariophyta,Stephanodiscus,41.89699681,143,Pre
G19041143451,41,Euglenophyta,Trachelomonas,0.029779284,143,Pre
G19041143451,41,Bacillariophyta,Unknown centric bacillariophyte,0.014889642,143,Pre
G19041143451,41,Cyanophyta,Woronichinia,0.849701618,143,Pre
G19041143452,41,Cyanophyta,Aphanizomenon,0.58,143,Post
G19041143452,41,Bacillariophyta,Asterionella,0.15,143,Post
G19041143452,41,Chlorophyta,Chalmydomonas,0.01,143,Post
G19041143452,41,Chlorophyta,Closteriopsis,0.04,143,Post
G19041143452,41,Chlorophyta,Coelastrum,0.22,143,Post
G19041143452,41,Cryptophyta,Cryptomonas,0.06,143,Post
G19041143452,41,Chlorophyta,Dictyosphaerium,0.01,143,Post
G19041143452,41,Cyanophyta,Dolichospermum,0,143,Post
G19041143452,41,Chlorophyta,Elakatothrix,0.01,143,Post
G19041143452,41,Chlorophyta,Eudorina,1.08,143,Post
G19041143452,41,Bacillariophyta,Fragilaria,83.18,143,Post
G19041143452,41,Cryptophyta,Komma,0.01,143,Post
G19041143452,41,Cyanophyta,Microcystis,2.98,143,Post
G19041143452,41,Chlorophyta,Oocystis,0.14,143,Post
G19041143452,41,Chlorophyta,Pandorina,0.46,143,Post
G19041143452,41,Chlorophyta,Pediastrum,1.71,143,Post
G19041143452,41,Cyanophyta,Pseudanabaena,0,143,Post
G19041143452,41,Chlorophyta,Sphaerocystis,0.66,143,Post
G19041143452,41,Chlorophyta,Staurastrum,0.05,143,Post
G19041143452,41,Bacillariophyta,Stephanodiscus,28.15,143,Post
G19041143452,41,Euglenophyta,Trachelomonas,0.02,143,Post
G19041143452,41,Bacillariophyta,Unknown centric bacillariophyte,0,143,Post
G19041150451,41,Cyanophyta,Aphanizomenon,0.595475595,150,Pre
G19041150451,41,Chlorophyta,Chalmydomonas,0.029237843,150,Pre
G19041150451,41,Chlorophyta,Coelastrum,0.177719028,150,Pre
G19041150451,41,Cyanophyta,Microcystis_Single,1.346530519,150,Pre
G19041150451,41,Chlorophyta,Oocystis,0.144772159,150,Pre
G19041150451,41,Cyanophyta,Pseudanabaena,0.012067034,150,Pre
G19041150451,41,Chlorophyta,Schroederia,0.042115056,150,Pre
G19041150451,41,Bacillariophyta,Stephanodiscus,6.054418867,150,Pre
G19041150452,41,Cyanophyta,Aphanizomenon,0.58,150,Post
G19041150452,41,Cyanophyta,Aphanothece,0.05,150,Post
G19041150452,41,Chlorophyta,Chalmydomonas,0.09,150,Post
G19041150452,41,Chlorophyta,Coelastrum,0.09,150,Post
G19041150452,41,Cryptophyta,Cryptomonas,0.08,150,Post
G19041150452,41,Bacillariophyta,Fragilaria,37.15,150,Post
G19041150452,41,Cyanophyta,Microcystis,1.41,150,Post
G19041150452,41,Cyanophyta,Microcystis_Single,0.46,150,Post
G19041150452,41,Bacillariophyta,Nitzschia,0.01,150,Post
G19041150452,41,Chlorophyta,Oocystis,0.05,150,Post
G19041150452,41,Cyanophyta,Pseudanabaena,0.03,150,Post
G19041150452,41,Chlorophyta,Schroederia,0,150,Post
G19041150452,41,Chlorophyta,Sphaerocystis,0.47,150,Post
G19041150452,41,Bacillariophyta,Stephanodiscus,27.04,150,Post
G19041157451,41,Cyanophyta,Aphanizomenon,1.210083656,157,Pre
G19041157451,41,Chlorophyta,Chalmydomonas,0.024292,157,Pre
G19041157451,41,Cryptophyta,Cryptomonas,0.220377026,157,Pre
G19041157451,41,Cyanophyta,Microcystis_Single,3.274172957,157,Pre
G19041157451,41,Bacillariophyta,Stephanodiscus,9.553018464,157,Pre
G19041157452,41,Cyanophyta,Aphanizomenon,4.84,157,Post
G19041157452,41,Cyanophyta,Aphanothece,0.36,157,Post
G19041157452,41,Chlorophyta,Chalmydomonas,0.08,157,Post
G19041157452,41,Cryptophyta,Cryptomonas,0.09,157,Post
G19041157452,41,Cyanophyta,Dolichospermum,0.04,157,Post
G19041157452,41,Cryptophyta,Komma,0.01,157,Post
G19041157452,41,Cyanophyta,Microcystis,0.12,157,Post
G19041157452,41,Chlorophyta,Oocystis,0.08,157,Post
G19041157452,41,Cyanophyta,Planktothrix,0.01,157,Post
G19041157452,41,Cyanophyta,Pseudanabaena,0,157,Post
G19041157452,41,Bacillariophyta,Stephanodiscus,1.3,157,Post
G19041164451,41,Cyanophyta,Aphanizomenon,0.241417137,164,Pre
G19041164451,41,Cryptophyta,Cryptomonas,0.457622417,164,Pre
G19041164451,41,Chlorophyta,Unknown chlorophyte,2.475156168,164,Pre
G19041164452,41,Cyanophyta,Dolichospermum,0.62,164,Post
G19041164452,41,Cyanophyta,Merismopedia,0.01,164,Post
G19041164452,41,Cyanophyta,Pseudanabaena,0.03,164,Post
G19041164452,41,Chlorophyta,unknown chlorophyte,2.91,164,Post
G19041164452,41,Cyanophyta,Woronichinia,3.9,164,Post
G19041172451,41,Cyanophyta,Aphanizomenon,0.06963596,172,Pre
G19041172451,41,Cyanophyta,Aphanocapsa,0.067978733,172,Pre
G19041172451,41,Chlorophyta,Chalmydomonas,0.052299191,172,Pre
G19041172451,41,Cyanophyta,Dolichospermum,3.167261924,172,Pre
G19041172451,41,Cyanophyta,Microcystis,44.77004325,172,Pre
G19041172451,41,Cyanophyta,Pseudanabaena,0.005958567,172,Pre
G19041172452,41,Cyanophyta,Dolichospermum,0.07,172,Post
G19041172452,41,Cyanophyta,Microcystis,62.38,172,Post
G19041172452,41,Cyanophyta,Pseudanabaena,0.01,172,Post
G19041178451,41,Cyanophyta,Aphanizomenon,0.009648488,178,Pre
G19041178451,41,Chlorophyta,Chalmydomonas,0.052645128,178,Pre
G19041178451,41,Cyanophyta,Dolichospermum,0.342664427,178,Pre
G19041178451,41,Cyanophyta,Microcystis,0.815052276,178,Pre
G19041178451,41,Cyanophyta,Microcystis_Single,0.704088171,178,Pre
G19041178451,41,Chlorophyta,Oocystis,0.019855643,178,Pre
G19041178451,41,Cyanophyta,Pseudanabaena,0.001809092,178,Pre
G19041178452,41,Chlorophyta,Chalmydomonas,0.12,178,Post
G19041178452,41,Cyanophyta,Dolichospermum,1.1,178,Post
G19041178452,41,Cyanophyta,Microcystis,4.36,178,Post
G19041178452,41,Cyanophyta,Microcystis_Single,0.09,178,Post
G19041178452,41,Chlorophyta,Oocystis,0.02,178,Post
G19041178452,41,Cyanophyta,Pseudanabaena,0.01,178,Post
G19041192451,41,Cyanophyta,Aphanocapsa,0.019629899,192,Pre
G19041192451,41,Cyanophyta,Aphanothece,1.403015144,192,Pre
G19041192451,41,Cyanophyta,Microcystis,269.2295438,192,Pre
G19041192451,41,Cyanophyta,Pseudanabaena,0.006412434,192,Pre
G19041192452,41,Cyanophyta,Aphanocapsa,0.18,192,Post
G19041192452,41,Cyanophyta,Aphanothece,26.17,192,Post
G19041192452,41,Chlorophyta,Chalmydomonas,0.07,192,Post
G19041192452,41,Cryptophyta,Cryptomonas,0.04,192,Post
G19041192452,41,Cyanophyta,Microcystis,107.12,192,Post
G19041192452,41,Bacillariophyta,Nitzschia,0.03,192,Post
G19041192452,41,Cyanophyta,Pseudanabaena,0.05,192,Post
G19041199451,41,Cyanophyta,Aphanocapsa,0.148635852,199,Pre
G19041199451,41,Cyanophyta,Aphanothece,7.199153146,199,Pre
G19041199451,41,Cryptophyta,Cryptomonas,0.167905569,199,Pre
G19041199451,41,Chlorophyta,Desmodesmus,0.007233127,199,Pre
G19041199451,41,Cyanophyta,Microcystis,106.7808341,199,Pre
G19041199451,41,Cyanophyta,Pseudanabaena,0.020727701,199,Pre
G19041199451,41,Cyanophyta,Snowella,0.087719149,199,Pre
G19041199452,41,Cyanophyta,Aphanocapsa,1.13,199,Post
G19041199452,41,Cyanophyta,Aphanothece,54.35,199,Post
G19041199452,41,Cyanophyta,Merismopedia,0.01,199,Post
G19041199452,41,Cyanophyta,Microcystis,22.46,199,Post
G19041199452,41,Cyanophyta,Pseudanabaena,0,199,Post
G19041199452,41,Cyanophyta,Snowella,0.06,199,Post
G19041206451,41,Cyanophyta,Aphanothece,15.89098996,206,Pre
G19041206451,41,Cryptophyta,Cryptomonas,0.160808134,206,Pre
G19041206451,41,Chlorophyta,Desmodesmus,0.004729651,206,Pre
G19041206451,41,Cyanophyta,Merismopedia,0.006140373,206,Pre
G19041206451,41,Cyanophyta,Microcystis,57.07862402,206,Pre
G19041206451,41,Chlorophyta,Monoraphidium,0.00392598,206,Pre
G19041206451,41,Cyanophyta,Pseudanabaena,0.0077891,206,Pre
G19041206451,41,Cyanophyta,Snowella,0.439020102,206,Pre
G19041206451,41,Bacillariophyta,Stephanodiscus,0.765330509,206,Pre
G19041206451,41,Bacillariophyta,Unknwon pennate bacillariophyte,2.123153728,206,Pre
G19041206452,41,Cyanophyta,Aphanothece,90.24,206,Post
G19041206452,41,Cyanophyta,Merismopedia,0.02,206,Post
G19041206452,41,Cyanophyta,Microcystis,61.58,206,Post
G19041206452,41,Cyanophyta,Pseudanabaena,0.02,206,Post
G19041206452,41,Cyanophyta,Snowella,0.86,206,Post
G19041206452,41,Bacillariophyta,Stephanodiscus,1.02,206,Post
G19041213451.cs,41,Cyanophyta,Aphanothece,9.769094139,213,Pre
G19041213451.cs,41,Chrysophyta,Mallomonas,1.58002367,213,Pre
G19041213451.cs,41,Cyanophyta,Merismopedia,0.003366528,213,Pre
G19041213451.cs,41,Cyanophyta,Microcystis,315.8591298,213,Pre
G19041213451.cs,41,Cyanophyta,Snowella,1.718579244,213,Pre
G19041213452.cs,41,Cyanophyta,Aphanothece,15.72884836,213,Post
G19041213452.cs,41,Chlorophyta,Desmodesmus,0.024110424,213,Post
G19041213452.cs,41,Cyanophyta,Merismopedia,0.016174538,213,Post
G19041213452.cs,41,Cyanophyta,Microcystis,45.77499674,213,Post
G19041213452.cs,41,Cyanophyta,Pseudanabaena,0.00885689,213,Post
G19041213452.cs,41,Cyanophyta,Snowella,2.547543776,213,Post
G19041220451,41,Cyanophyta,Aphanocapsa,0.297607368,220,Pre
G19041220451,41,Cyanophyta,Aphanothece,38.45670344,220,Pre
G19041220451,41,Chlorophyta,Desmodesmus,0.03107229,220,Pre
G19041220451,41,Cyanophyta,Merismopedia,0.02197633,220,Pre
G19041220451,41,Cyanophyta,Microcystis,11.96219193,220,Pre
G19041220451,41,Chlorophyta,Oocystis,0.081974459,220,Pre
G19041220451,41,Cyanophyta,Snowella,1.868193502,220,Pre
G19041220452,41,Cyanophyta,Aphanocapsa,0.02,220,Post
G19041220452,41,Cyanophyta,Aphanothece,57.26,220,Post
G19041220452,41,Cyanophyta,Merismopedia,0.01,220,Post
G19041220452,41,Cyanophyta,Microcystis,74.74,220,Post
G19041220452,41,Cyanophyta,Pseudanabaena,0.09,220,Post
G19041220452,41,Cyanophyta,Snowella,0.41,220,Post
G19041227451,41,Cyanophyta,Aphanothece,0.167508473,227,Pre
G19041227451,41,Chlorophyta,Chalmydomonas,0.027869222,227,Pre
G19041227451,41,Cryptophyta,Cryptomonas,0.083157488,227,Pre
G19041227451,41,Cryptophyta,Komma,0.040202033,227,Pre
G19041227451,41,Cyanophyta,Merismopedia,0.005897209,227,Pre
G19041227451,41,Cyanophyta,Microcystis,4.125815304,227,Pre
G19041227451,41,Cyanophyta,Planktolyngbya,0.267155174,227,Pre
G19041227451,41,Cyanophyta,Pseudanabaena,0.004616952,227,Pre
G19041227451,41,Cyanophyta,Snowella,0.046002014,227,Pre
G19041227452,41,Cyanophyta,Aphanothece,98.39,227,Post
G19041227452,41,Cyanophyta,Microcystis,144.77,227,Post
G19041227452,41,Cyanophyta,Pseudanabaena,0.21,227,Post
G19041227452,41,Euglenophyta,Trachelomonas,0.09,227,Post
G19041245451.cs,41,Cyanophyta,Aphanocapsa,0.957450513,245,Pre
G19041245451.cs,41,Chlorophyta,Chalmydomonas,0.067320739,245,Pre
G19041245451.cs,41,Euglenophyta,Euglena,0.080757405,245,Pre
G19041245451.cs,41,Cyanophyta,Merismopedia,0.000157039,245,Pre
G19041245451.cs,41,Cyanophyta,Microcystis,17.34609129,245,Pre
G19041245451.cs,41,Cyanophyta,Pseudanabaena,0.087226896,245,Pre
G19041245451.cs,41,Chlorophyta,Schroederia,0.031407839,245,Pre
G19041245451.cs,41,Cyanophyta,Snowella,0.386375305,245,Pre
G19041245452,41,Cyanophyta,Aphanocapsa,2.77,245,Post
G19041245452,41,Cyanophyta,Aphanothece,134.43,245,Post
G19041245452,41,Chlorophyta,Golenkiniopsis,0.06,245,Post
G19041245452,41,Cryptophyta,Komma,0.13,245,Post
G19041245452,41,Cyanophyta,Merismopedia,0,245,Post
G19041245452,41,Cyanophyta,Microcystis,38.58,245,Post
G19041245452,41,Cyanophyta,Pseudanabaena,0.5,245,Post
G19041245452,41,Cyanophyta,Snowella,0.2,245,Post
G19041251451.cs,41,Cyanophyta,Aphanocapsa,0.750941579,251,Pre
G19041251451.cs,41,Chlorophyta,Chalmydomonas,0.009459302,251,Pre
G19041251451.cs,41,Cyanophyta,Merismopedia,0.000073901,251,Pre
G19041251451.cs,41,Cyanophyta,Microcystis,12.0810424,251,Pre
G19041251451.cs,41,Cyanophyta,Pseudanabaena,0.027719163,251,Pre
G19041251451.cs,41,Cyanophyta,Snowella,0.181823673,251,Pre
G19041251451.cs,41,Bacillariophyta,Stephanodiscus,4.046512033,251,Pre
G19041251452.cs,41,Cyanophyta,Microcystis,15.15261754,251,Post
G19041251452.cs,41,Cyanophyta,Pseudanabaena,1.174461284,251,Post
G19041251452.cs,41,Bacillariophyta,Stephanodiscus,0.631360373,251,Post
